Entity,Label,Count of NER
obama daughterinlaw,ORG,6
rachael,NORP,7
jeantel fisa court,ORG,6
janet napolitano,PERSON,9
canada south dakota,ORG,6
susan rice,PERSON,9
irs,ORG,52
nigeria,GPE,8
jason collins,PERSON,6
westboro babtist church steps,ORG,6
boston obama administration,ORG,6
pope francis,PERSON,11
michelle obama,PERSON,35
mexican,NORP,71
hugo chavez worlds sexiest,PERSON,6
8,CARDINAL,102
2013,CARDINAL,42
joe,PERSON,57
kremlin,ORG,59
meteor,ORG,14
japan,GPE,113
one billion,CARDINAL,14
taliban,ORG,36
karl rove,PERSON,7
paul krugmans,PERSON,8
eliminates armed guard protection,ORG,6
100000,CARDINAL,41
american college students china,ORG,6
jay carney al qaeda,PERSON,6
3rd quarter 2013,DATE,6
ohio,GPE,84
millennium,DATE,14
age least 814 years,DATE,6
attends church service,ORG,6
biden criticizing,PERSON,6
egypt,GPE,56
israelis,NORP,59
al gore,PERSON,33
michael moore long,PERSON,6
reagan,PERSON,77
420 billion,MONEY,6
putin chicagostyle,PERSON,6
hamas,ORG,40
israeli,NORP,197
israel,GPE,583
american nazi party,ORG,6
jesus,PERSON,30
may day,DATE,6
ten bucks,MONEY,8
steven chu,PERSON,6
mexico,GPE,106
pakistan explodes,GPE,6
gm,ORG,32
late last week,DATE,4
1000,CARDINAL,75
winter,DATE,60
first 48 hours,TIME,1
one year old,DATE,1
last days,DATE,22
decades,DATE,144
july 10 2015,DATE,1
july 2015,DATE,13
charles krauthammer jonah goldberg,PERSON,1
jonathan leibowitz  mean,PERSON,1
jon stewart,PERSON,4
stewartleibowitz,ORG,1
white america,ORG,1
5145,CARDINAL,1
cbs,ORG,76
day,DATE,93
50 years,DATE,7
muslim immigration make immigration serve,ORG,1
germany,GPE,138
establishment republican party,ORG,3
millions illegals,MONEY,1
bill kristol,PERSON,1
gop trumps party,ORG,1
prorepublican,NORP,1
91,CARDINAL,6
hundreds,CARDINAL,112
many thousands years,DATE,1
aqutru,ORG,1
500,CARDINAL,54
epa,ORG,23
mike adams aka,PERSON,1
17025,DATE,1
cwc,ORG,2
africans american indians,NORP,1
indian,NORP,187
11,CARDINAL,127
10 million,CARDINAL,22
acai berry,PERSON,1
dozen,CARDINAL,29
june 18,DATE,1
george,PERSON,4
hundreds years,DATE,5
century ago eighteen,DATE,1
28102016,CARDINAL,3
usrussia relations,ORG,1
putin respond,PERSON,1
arab,NORP,267
pentagon us,ORG,1
geneva,GPE,4
days,DATE,190
un security council,ORG,25
days later,DATE,7
pentagon,ORG,134
david duke,PERSON,51
october 27 2016,DATE,114
dr duke dr slattery,PERSON,1
saudi arabia,GPE,280
dr duke,PERSON,11
andrew bradford,PERSON,7
new york times,ORG,100
roger pillath,PERSON,1
christian,NORP,202
alan,PERSON,2
future united states,GPE,1
year 1995,DATE,1
timothy mcveigh,PERSON,5
murrah federal building,ORG,1
oklahoma city,GPE,15
168,CARDINAL,3
pbs,ORG,27
andrew bradford andrew bradford,PERSON,5
atlanta,GPE,15
deepleftfieldinfo,ORG,6
3 2016,TIME,3
alex kirby,PERSON,2
2c,CARDINAL,2
dr phillip,PERSON,1
srm,ORG,1
dr williamson,PERSON,1
bbc,ORG,58
february,DATE,33
koch brothers,ORG,1
w george soros hillary clinton,PERSON,1
jay kurtz,PERSON,1
bernie become driving force democratic party,ORG,1
hillary gmatch,PERSON,1
hillary bernie,PERSON,6
cnbc,ORG,27
sanders schtick,PERSON,1
wrestlemania,GPE,1
50 odd years,DATE,1
last one,DATE,1
hartford,GPE,1
condie matthews,ORG,1
morning,TIME,142
924,CARDINAL,1
brett,ORG,4
milwaukee,GPE,7
philip rucker,ORG,1
october 17 2016,DATE,5
sarah jones,PERSON,4
tue nov 1st 2016 126,DATE,1
obama administration,ORG,23
nov 8,DATE,23
washington post sources knowledge internal discussions,ORG,1
putin congratulates trump,PERSON,1
tyler durden  perhaps,PERSON,1
last nights,DATE,6
saudi arabia clinton,GPE,1
early morning,TIME,12
vladimir putin,PERSON,119
wednesday,DATE,239
russia united states,GPE,4
vyacheslav volodin,PERSON,1
usrussian,NORP,13
sergey lavrov,PERSON,3
new us administration,ORG,1
sergey,ORG,1
zheleznyak,GPE,1
russia party,ORG,1
communist party,ORG,3
wednesday morning,TIME,4
united states,ORG,27
lukewarm news,PERSON,1
vladimir zhirinovsky,PERSON,1
liberal democratic party,ORG,1
the afroamerican sf source,ORG,1
french,NORP,231
november 10,DATE,7
152,CARDINAL,4
199,CARDINAL,2
article 68,LAW,1
fifth,ORDINAL,62
58,CARDINAL,13
193,CARDINAL,1
34,CARDINAL,11
