Entity,Label,Count of NER
year ago,DATE,16
year later,DATE,2
angela stent,PERSON,1
georgetown university,ORG,2
january 20,DATE,3
highlevel,ORG,3
vladimir putin one,PERSON,1
russia usa usa,ORG,1
eurasia,GPE,4
europe united states,GPE,6
vietnam,GPE,46
thomas gomart,PERSON,1
september 2014,DATE,3
shanghai,GPE,7
vladimir putin heinz,PERSON,1
1960s70s two,CARDINAL,1
mbeki spoke,FAC,1
africa syria,LOC,1
europe united states america,GPE,1
ukraine,PERSON,1
kudrin staunch,PERSON,1
7 days,DATE,2
seven days,DATE,1
september 12 think,DATE,1
17th,CARDINAL,1
9 days,DATE,2
9,DATE,1
austria,PERSON,1
eu russia,PERSON,1
25 years ago,DATE,3
next 25 years,DATE,1
frankly soviet union,GPE,1
gorbachev russia,PERSON,1
social democratic party,ORG,1
25 years ago early 90s early 90s,DATE,1
sweden,GPE,5
94 95,CARDINAL,1
eu side council europe,ORG,1
gabor stier question,PERSON,1
putin ukraine,PERSON,1
kiev,GPE,19
berlin vladimir putin,PERSON,1
17 21 billion,QUANTITY,1
14 billion,CARDINAL,3
185 184,CARDINAL,1
180,CARDINAL,11
180 per thousand cubic metres,QUANTITY,1
300 per thousand cubic metres,QUANTITY,1
ss20,PRODUCT,3
kosovo,GPE,7
kenny,PERSON,2
day 2017,DATE,1
donald know,PERSON,1
irish,NORP,19
election october 27 2016,DATE,1
donewe,GPE,1
nonopec producers,ORG,1
twelve,CARDINAL,9
nearly year,DATE,2
zainab calcuttawala,PERSON,1
morocco,GPE,36
austin hookem,PERSON,1
alexander novak,PERSON,1
mohammed barkindo bloc,PERSON,1
jamestown foundation,ORG,1
kazakhstan,PERSON,1
67 percent,PERCENT,5
soviet republic,GPE,1
kazakh,PERSON,2
kanat bozumbayev,PERSON,1
kazakhstan,GPE,4
01 percent,PERCENT,6
kashagan field,ORG,1
60 percent,PERCENT,14
kazakhstan kazakh,PERSON,1
attendance vienna,PERSON,1
azerbaijan,GPE,13
opecnonopec,NORP,1
102 percent,PERCENT,1
azeri,NORP,1
natig aliyev,ORG,1
blocs,PERSON,1
oman,GPE,1
north african,NORP,6
countrys energy ministry,ORG,1
aramcos fiveyear,PERSON,1
coming weeks,DATE,4
north american,NORP,28
next fiscal year,DATE,1
16 million barrel,QUANTITY,1
21 percent,PERCENT,10
308 percent,PERCENT,1
almost entire year,DATE,1
north america europe bloc,LOC,1
day one,DATE,4
last eight years,DATE,5
organized heritage foundation,ORG,1
several hours,TIME,9
stephen moore,PERSON,1
fellow heritage foundation,ORG,1
long,PERSON,1
british american,NORP,1
november 12 2016,DATE,7
charles ohara,PERSON,1
1806,DATE,5
two thousand years,DATE,1
black americans,NORP,1
unions wisconsin,ORG,1
shark trumps,PERSON,1
franklin foer complete,PERSON,1
john roberts,PERSON,2
kooky,PERSON,1
tmzstyle tabloid,PERSON,1
alabama,GPE,8
robert earl,PERSON,1
free alabama movement fam,ORG,1
limestone fam group,ORG,1
james plesant,PERSON,3
melvin ray,PERSON,1
october 21,DATE,7
shadowproof kilby,PERSON,1
kenneth glasgow,PERSON,1
alabama department,ORG,1
september 9,DATE,1
bryan stevenson,PERSON,1
kinetiks,PERSON,1
donaldson,ORG,1
7 days week,DATE,1
alabama department corrections kinetik,ORG,1
gary haecker,PERSON,1
cynthia jaqua jaqua,PERSON,1
jaqua,PERSON,1
san antonio,PERSON,1
100foot,CARDINAL,1
georgina pereida,PERSON,1
ngos condemn,ORG,1
26 oct 2016 2253,DATE,1
26 oct 2016 2312,DATE,1
foreign ministrys commissioner human,ORG,1
konstantin dolgov,PERSON,1
dozens thousands,CARDINAL,1
around 300,CARDINAL,1
west arab,NORP,1
10312016,DATE,2
twenty years ago,DATE,3
united states canada,ORG,1
western europe region,LOC,1
recent national academy sciences report,ORG,1
two decades ago,DATE,4
65 percent,PERCENT,2
jeffrey sachs,ORG,1
paul kennedy,PERSON,1
colonies,GPE,6
africa asia,LOC,2
rico,LAW,13
4999,DATE,1
4249,CARDINAL,1
88,CARDINAL,9
662,CARDINAL,1
36,CARDINAL,20
around 900 billion,MONEY,1
900 billion,MONEY,1
1898 1994,DATE,1
historian john coatsworth,PERSON,1
41,CARDINAL,18
every 28 months century,DATE,1
africa middle east southeast asia,LOC,1
columbia,ORG,1
joseph stiglitz harvard,PERSON,1
linda bilmes,PERSON,1
3 trillion,MONEY,2
47 trillion,MONEY,1
2016 15year,DATE,1
47 trillion,CARDINAL,1
roughly 300 billion,MONEY,1
2001 2016,DATE,1
departments education energy labor interior transportation national science foundation national institutes health environmental protection,ORG,1
americas security,ORG,1
moammar khadafy,PERSON,1
1950 1990,DATE,1
1898,DATE,5
another quarter century,DATE,1
rico,CARDINAL,2
1890s,DATE,1
british french,NORP,1
1950,DATE,9
roughly third,CARDINAL,1
around 10 percent,PERCENT,1
struggle survival,PERSON,1
nearly half century,DATE,1
congo,GPE,1
ghana,GPE,3
indonesia,GPE,19
cambodia,GPE,8
iran namibia,EVENT,1
chile,GPE,3
united fruit international itt,ORG,1
john foster,PERSON,1
allen land,PERSON,1
british empire,DATE,1
1920s,DATE,10
vietnam war,EVENT,7
cold war,EVENT,19
quarter century,DATE,5
bill clinton george w bush,PERSON,2
induced united states,GPE,1
mikhail gorbachev,PERSON,8
eastward nato,ORG,1
1990,DATE,23
around 27 percent,PERCENT,1
dick cheney,PERSON,10
paul wolfowitz,PERSON,2
around 22 percent,PERCENT,1
16 percent,PERCENT,5
around 18 percent,PERCENT,1
2021,DATE,2
roughly 15 percent,PERCENT,2
united nations especially shared actions uns,ORG,1
conservatives,NORP,8
jeffrey sachs university,ORG,1
para dinle,ORG,1
tiffany willis,PERSON,1
14 2014,DATE,1
willis,NORP,1
hasa,GPE,1
willis tiffany willis,NORP,2
texan,NORP,3
15 minutes,TIME,8
roger something,PERSON,1
donald trump  ,PERSON,2
100 percent,PERCENT,15
martha hillary,PERSON,1
dr marsha adebayo,PERSON,3
africans,NORP,14
stein ajamu,PERSON,4
baraka margaret,PERSON,2
africa south america,LOC,2
margaret flowers green party,PERSON,2
chris van hollen,PERSON,2
del kathy,PERSON,2
sham excuse,ORG,2
flowers join van hollen,PERSON,2
van hollen,PERSON,6
rosa parks,PERSON,3
margaret,PERSON,11
dr margaret flowers green party,PERSON,2
boycottcomedianrobert deniro,PERSON,1
robert deniro,PERSON,2
deniro vocal,GPE,1
deniro chosen,PERSON,1
robert dinero,PERSON,1
moviecomedian robert de niro,PERSON,1
bull,ORG,1
mexico de niro,ORG,1
italy de niros,ORG,1
antonio cerio mayor,PERSON,1
comedian de niros,ORG,1
yahoo,ORG,9
kelly promoting dineros,PERSON,1
pediatrician jim smith,PERSON,1
dr jim smith,PERSON,5
jenny mccarthy,PERSON,1
dr jim smiths new lifestyle,PERSON,1
jim admittedly,PERSON,1
20000000,CARDINAL,1
1750000 year,DATE,1
jim smith,PERSON,3
dr jim smiths favorite,PERSON,1
dr jim smiths old,PERSON,1
dr jim smiths regret,PERSON,1
315,CARDINAL,3
bay pigs veterans association,ORG,1
3rd,ORDINAL,17
jubilee,PERSON,2
illuminati,NORP,11
first 30 years,DATE,1
conversos,ORG,1
diego lainez,PERSON,1
al smith dinner party,ORG,1
henry kissinger howard rubenstein mort,PERSON,1
native indians,NORP,1
illuminati,ORG,19
1843,DATE,1
jesus one,PERSON,1
marquis de lafayette,PERSON,1
17571834,DATE,1
american continental army command,ORG,1
henry kissinger,PERSON,17
eu paying homage,PERSON,1
fiat monetary scam,ORG,1
309 trillion,MONEY,1
357 trillion,MONEY,1
obama government,ORG,1
vatican,ORG,3
islam cern,ORG,1
david icke,PERSON,3
jesus aka,PERSON,2
knight malta,ORG,1
btselem israel information center human rights occupied territories spoke,ORG,1
1400,CARDINAL,1
day night,TIME,4
nuremburg,GPE,1
70 years ago,DATE,2
49 years,DATE,1
50 year,DATE,1
david bitan likud party,ORG,1
palestine,GPE,7
gaza west bank,GPE,1
fields gaza,GPE,1
year year decades,DATE,1
south africas,GPE,2
almost 400,CARDINAL,1
seventeen,CARDINAL,5
dareen,DATE,1
arabpalestinian,NORP,1
19yearold,CARDINAL,1
samah dweik released,PERSON,1
almost six months,DATE,1
arabs,NORP,137
avigdor lieberman,PERSON,3
mahmoud,PERSON,3
101st,ORG,1
179,CARDINAL,2
15000,CARDINAL,22
last several days,DATE,1
btselem,PRODUCT,1
btselem,FAC,1
zionist,NORP,39
jew united states,GPE,1
mccarthy,PERSON,17
arabpalestinian,PERSON,1
ahmad tibi,PERSON,1
david bitans,PERSON,1
united russia,ORG,1
georgia ukraine page,ORG,1
united national movement,ORG,3
georgian,NORP,14
matwey ganapolsky,PERSON,1
postsoviet,NORP,7
orange revolution kiev,EVENT,1
yulia timoshenko,PERSON,1
saakashvilis,NORP,3
united national movement openly accused building,ORG,1
kiev,PERSON,3
tbilisi kiev,PERSON,2
us,PERSON,2
several decades,DATE,7
ivana,PERSON,4
marla,ORG,1
s doozy,PERSON,1
20 dollars,MONEY,3
donald knew,PERSON,1
dahls day,DATE,1
mailin,PERSON,1
george soros clinton,PERSON,2
glen ford,PERSON,7
ball republican party,ORG,2
clinton al gore,PERSON,2
south national democratic party,ORG,2
bosnia kosovo,GPE,5
previous decade,DATE,4
africa clinton,PERSON,2
uganda,GPE,3
rwanda,GPE,14
two years later,DATE,4
six million,CARDINAL,5
january 2009,DATE,3
medicare,ORG,21
bob dole,PERSON,3
1996,DATE,21
alan simpson,PERSON,2
4 trillion,CARDINAL,3
kansas city,GPE,5
altar democrats eat much satans sandwich,ORG,2
white mans party,ORG,2
morgan stanley,ORG,9
2013 year,DATE,2
1 2,CARDINAL,8
air interim clinton,ORG,2
october 28,DATE,34
october 28th 2016,DATE,2
friday october 28th,DATE,1
david stockmans contra,PRODUCT,3
three decades,DATE,8
contra,NORP,11
david stockmans,PERSON,4
lee,PERSON,4
syrian arab republic,NORP,2
syria moderate,ORG,1
one month,DATE,5
homs province,GPE,1
october 10,DATE,2
al jazzera,ORG,1
october 24,DATE,8
omar qayson,PERSON,1
james comey taken,PERSON,1
clintons james comey taken,PERSON,1
08112016,CARDINAL,4
last friday 11 days,DATE,1
15 years ago,DATE,7
two days ago,DATE,5
rubio,PERSON,5
marco rubio patrick murphy,PERSON,1
senate intelligence committee,ORG,5
murphy,PERSON,3
joe biden rebuke rudy giuliani,PERSON,1
clearing house,ORG,1
kansas,GPE,34
iraq afghan war,EVENT,1
hundreds thousands,CARDINAL,38
gen david petraeus,ORG,1
clinton inc watch,ORG,2
canterbury,GPE,1
east kent vanessa,PERSON,1
two months later,DATE,3
thennew york,GPE,3
several months january,DATE,3
september 5 2006,DATE,4
eli chomsky,PERSON,3
nine months,DATE,4
76,CARDINAL,16
132,CARDINAL,5
fatah,ORG,12
september 2006,DATE,3
information day earlier,DATE,2
almost 80 years ago,DATE,1
majorana fermion,ORG,2
majorana,PERSON,7
majorana 1937,DATE,1
majorana,ORG,2
higgs boson,PERSON,1
leonid rokhinson,PERSON,1
purdue university,ORG,1
0 1,CARDINAL,2
april year,DATE,1
national laboratory tennessee,ORG,1
majorana fermion particle fastforward,ORG,1
chinese academy sciences,ORG,1
majorana zero,ORG,2
quantum simulation manipulate,ORG,1
kim dotcom,PRODUCT,1
kim dotcom,PERSON,26
hillary trying steal,PERSON,1
texas survival news,ORG,1
270,CARDINAL,27
state,ORG,2
first time years,DATE,2
joan stevens stevens,PERSON,1
stevens,PERSON,7
four years ago,DATE,16
arlington,GPE,5
shandy clark,PERSON,1
texans,NORP,6
breitbart texas,ORG,1
real day,DATE,1
23,CARDINAL,37
24 million,CARDINAL,4
nearly 2 million,CARDINAL,1
approximately 24,CARDINAL,1
18 million,CARDINAL,8
approximately 275 million,CARDINAL,1
almost 7 10,CARDINAL,1
year 2008,DATE,1
nearly 8 10,CARDINAL,1
south asia,LOC,9
7000yearold,CARDINAL,1
muduma village,PERSON,1
telangana,GPE,3
35  4 meters,QUANTITY,1
3060cm,QUANTITY,1
armenia,GPE,2
thousands years ago,DATE,4
natalia klimczak,ORG,1
7 hectares,QUANTITY,1
dar river canyon,LOC,1
5000 years,DATE,3
3500 years,DATE,2
khnkikyan concluded site zorats karer,PERSON,1
armenian,NORP,4
astrophysicists,NORP,1
sisian,NORP,1
karer,ORG,1
paris,PERSON,1
armenian national academy science president radio physics research institute,ORG,1
223,CARDINAL,3
84,CARDINAL,4
sun moon,FAC,2
05 3 meters,QUANTITY,1
10 tons,QUANTITY,1
natalia klimzcak,ORG,1
general ivashov international,ORG,1
february 24,DATE,2
leonid ivashov,ORG,1
bilderberg meeting,PERSON,1
july 12 2003,DATE,1
july 31 2014,DATE,1
mh17,PRODUCT,1
july 15 2011,DATE,1
february 11 2005,DATE,1
march 1 2010,DATE,4
september 1 2006,DATE,2
april 26 2007,DATE,6
today know 2000 years ago,DATE,4
comey jumped,PERSON,3
oct 30 2016,DATE,5
huma abedin abedins,PERSON,1
pat kept,PERSON,2
10 years past four months,DATE,1
jim told,PERSON,2
lynch obama,PERSON,4
1023 months,DATE,3
nraila,GPE,1
michael bloombergbacked thensitting,PERSON,1
kathleen g kane,PERSON,1
wendy demchickalloy,PERSON,1
10 23 months,DATE,1
kane,PERSON,1
generalelect kane,PERSON,1
12 24 years,DATE,1
hillary criminalton kim,PERSON,2
hillary american,PERSON,1
kim dotcom friend,PERSON,1
later evening,TIME,1
14th 2015,DATE,1
collin,PERSON,1
bloomberg,PERSON,11
ali elkin,PERSON,1
julian,NORP,41
later tonight,TIME,1
1946,CARDINAL,3
1946 prior 1946,DATE,1
1935 137 miles,QUANTITY,1
october 1946,DATE,1
height 65 miles,QUANTITY,1
nearly five,CARDINAL,2
nearly 500 feet,QUANTITY,1
spectacular day,DATE,1
neptune 1990,DATE,1
ka226,PERSON,2
s400,CARDINAL,3
russian indian,NORP,2
sergey shoigu,PERSON,5
october 1516,DATE,1
russianindian intergovernment commission,ORG,1
shoigu,PERSON,2
previous year,DATE,4
russianindian intergovernmental commission militarytechnical,ORG,1
pu air lashes,PERSON,1
megyns,PERSON,2
360,CARDINAL,4
1776,DATE,2
adam weishaupt,PERSON,4
join lodge,ORG,1
later create night,TIME,1
torchlight five,CARDINAL,1
1784,CARDINAL,1
johann wolfgang von goethe,PERSON,1
bavarian,NORP,6
adolph von knigge,PERSON,1
mayer amschel rothschild,PERSON,2
von knigge,PERSON,1
13 degrees,QUANTITY,1
bavaria,PERSON,1
bavaria,GPE,2
june 1784,DATE,1
august 1787,DATE,1
john f kennedy weishaupts,PERSON,1
crimes de mistura,ORG,1
earlier sunday,DATE,1
state news agency,ORG,1
sana,ORG,1
16000,CARDINAL,6
february september,DATE,2
2031,DATE,1
3532,CARDINAL,1
12800,CARDINAL,1
american university cairo,ORG,1
michael depinto,PERSON,6
coo sheryl sandberg,PERSON,2
researchdriven clinton,PERSON,2
sheryl sandberg,PERSON,6
february 2015,DATE,8
two months,DATE,20
may 2015,DATE,7
early 2016,DATE,6
august 2015,DATE,10
later month,DATE,5
google google,PRODUCT,3
calais france,PERSON,3
0 114,CARDINAL,1
libyans,NORP,8
iraqi,GPE,1
pakistan eritrea,GPE,1
ethiopia,GPE,13
6 13,CARDINAL,1
calais final,PERSON,1
calais,GPE,3
sudanese quarter,DATE,1
ag lynch,ORG,2
daisy luther,PERSON,4
big kahuna fbi,ORG,3
tarmac bill clinton,PERSON,3
senate judiciary committee,ORG,4
about third,CARDINAL,3
63 percent,PERCENT,3
71,CARDINAL,10
18wheeler,CARDINAL,3
donna brazile,PERSON,18
chairwoman democratic national committee the campaign,ORG,3
comey letter,PERSON,2
bob goodlatte,PERSON,2
rvirginia chair house judiciary committee,ORG,2
rep jason,PERSON,2
rutah chair house,ORG,2
fbi state department,ORG,2
knew least two years,DATE,1
california national guard,ORG,13
duncan hunter marine corps,PERSON,1
aisle house,ORG,1
sens dianne,PERSON,1
barbara boxer,PERSON,1
dark agenda,PERSON,2
brandon smith,PERSON,6
apex systems bank,ORG,2
switzerland,GPE,26
international monetary fund bank,ORG,2
fabian,NORP,2
william james,PERSON,2
april 1974,DATE,2
april 19 1994,DATE,2
mona lisa carroll quigley,PERSON,2
nazi party,ORG,3
governments least century,DATE,1
past hundred years,DATE,2
thousands upon thousands,CARDINAL,2
altmarketcom,ORG,1
27th 2013,DATE,1
early thursday,DATE,2
hezbollah,ORG,10
reutersipsos poll,PERSON,1
9 percent,PERCENT,6
3 obama,PRODUCT,1
syria congress us,ORG,1
4 united states,PERCENT,1
united nations attack,ORG,1
national council,ORG,1
bashar,PERSON,5
benjamin netanyahu,PERSON,16
dmitry rogozin,PERSON,1
jerome corsi,PERSON,1
18 war,TIME,1
170,CARDINAL,5
109,CARDINAL,4
zaina,PERSON,1
50s,DATE,2
syria united states,GPE,3
2gary2,CARDINAL,2
gerald celente,PERSON,2
adrian,NORP,5
halliburton,PERSON,1
23 4,CARDINAL,1
first months,DATE,4
200 years,DATE,3
justanoguy tom,PERSON,1
memadmax ochoomas ego,PERSON,1
oct,DATE,1
new year crap month september,DATE,1
tim richard,PERSON,1
last 2 years,DATE,2
couple months,DATE,1
barry,PERSON,3
bingo,NORP,1
hyundai,ORG,2
kaddafi,GPE,2
5 mile,QUANTITY,1
soldier least 2 hours,TIME,1
699,CARDINAL,1
patsy,PERSON,1
nazzzi germany,GPE,1
k e4b,PERSON,1
zero nobel peace prize,QUANTITY,1
jason mckenzie,PERSON,1
1st,TIME,1
tenth,ORDINAL,6
society healthcare,ORG,1
5 barrels,QUANTITY,1
tatiana covington,ORG,1
10 yr 90 days,DATE,1
smith,ORG,2
fifteen years,DATE,5
07112016,CARDINAL,6
milivoye katnich,PERSON,1
serbian,NORP,7
october 16,DATE,4
twenty,CARDINAL,7
61,DATE,3
irs immigration federal officials justice department,ORG,1
300 million least 15000,CARDINAL,1
jason ditz,PERSON,11
kurdish ypg,ORG,1
turkish,NORP,37
mevlut,PERSON,1
battle ypg,PERSON,1
200 ypg,MONEY,1
trumpland 1,CARDINAL,3
two years  ,DATE,1
next two years,DATE,6
many millions dollars,MONEY,3
900000,CARDINAL,7
guidance us refueling midair us protection,ORG,3
united nations us,ORG,3
obama wrong,PERSON,3
syria 2013,EVENT,3
algeria,GPE,8
kuwait united,GPE,4
another form years later,DATE,3
eight years ago,DATE,5
age 22,DATE,4
fantasy clinton,PERSON,3
moore,PERSON,3
october 27th,DATE,2
russian turkish,NORP,1
crimean,PRODUCT,1
crimean,NORP,5
putin erdogan,PERSON,1
july 2016,DATE,8
jack,PERSON,10
thirty thousand years,DATE,1
thirteenthousand years,DATE,1
eclipses3,ORG,1
microcosm macrocosm,ORG,1
macrocosm microcosm,ORG,1
537,CARDINAL,1
tibetan,NORP,22
tibet,GPE,19
paradigm5,PERSON,1
quantum entanglement,ORG,3
karl pribram,PERSON,2
stanford,ORG,10
albert einstein,PERSON,3
jon von neumann,PERSON,3
david bohm,PERSON,3
stanford research institute menlo park,ORG,1
harold puthoff russell,PERSON,1
years ago,DATE,36
representation8,ORG,1
mean9,PERSON,1
190611 decades,DATE,1
john lashley,PERSON,1
that12,PERSON,1
function14,PRODUCT,1
last thirty years,DATE,1
190616,CARDINAL,1
nineteenth century,DATE,6
late twentieth early twentyfirst century,DATE,1
1971,DATE,11
dennis gabor,PERSON,1
1933,DATE,6
euclidian,NORP,2
quantum physics foundation,ORG,1
david hilbert,PERSON,1
werner heisenberg,PERSON,1
gabor von neumann,PERSON,1
rockefeller,ORG,14
von neumann,PERSON,5
hilbert princeton,PERSON,1
1929,DATE,13
princeton von neumann,PERSON,1
quantum mechanics mathematische,ORG,1
john stewart,PERSON,1
bashing17 einstein,PERSON,1
quantum physics,ORG,2
george berkeley,PERSON,1
three hundred years ago,DATE,1
max wien,PERSON,1
late nineteenth century,DATE,3
early twenties,DATE,1
1926 twentyfirst century,DATE,1
it19,PRODUCT,1
1952,CARDINAL,1
1956,DATE,6
hugh everett iii manyworlds,PERSON,1
1957,DATE,1
hugh everett iii,PERSON,1
angloamerican,ORG,2
louis de,PERSON,1
1927,DATE,3
1952,DATE,5
mechanics heisenberg,ORG,1
1955,DATE,2
language24,PERSON,1
order27,CARDINAL,1
academia bohm,PERSON,1
reality28,CARDINAL,1
joseph campbell,PERSON,5
pribram29 bohm30,PERSON,1
geoffrey kirk regius,PERSON,1
greek university,ORG,1
1974 1984,DATE,1
australia,GPE,31
1770,DATE,1
james cook,PERSON,2
1928,CARDINAL,1
authorities31,PERSON,1
late 1849,DATE,1
again32,DATE,1
white33,PERSON,1
sixty thousand years,DATE,1
kimberley,GPE,1
four thousand year old,DATE,1
wandgina,NORP,1
dusk dawn,TIME,1
two miles long mile,QUANTITY,1
eleven hundred feet,QUANTITY,1
fifteen half miles,QUANTITY,1
seventeen hundred feet,QUANTITY,1
eight half square miles,QUANTITY,1
nine hundred eightyfour feet,QUANTITY,1
2535,DATE,1
five miles,QUANTITY,3
three square mile,QUANTITY,1
almost thousand feet,QUANTITY,1
kalkajaka,ORG,2
reptilian,NORP,9
reptilian,GPE,6
duncan,PERSON,6
sightings36,ORG,1
kevin gavi,PERSON,2
uluru east,LOC,1
mt,GPE,1
thousand feet,QUANTITY,1
experiences38 rex,PERSON,1
pioneers39,GPE,1
david hatcher,PERSON,1
reason australia place put hyperspace portal,ORG,1
terrestrials41 duncan,PERSON,1
forty miles,QUANTITY,1
yengo,GPE,1
mirrabooka mira,PERSON,1
43,CARDINAL,32
around morning,TIME,1
mirrabooka44,PRODUCT,1
circle45,GPE,1
two hundred,CARDINAL,1
ninety degrees counter,QUANTITY,1
middle australia mount conner,LOC,1
fifty miles,QUANTITY,1
fifteenth century,DATE,1
sixteenth century,DATE,2
northern england,LOC,1
early nineteenth century,DATE,1
frank herbert,PERSON,1
continuum,PERSON,3
wells hvergelmir,ORG,1
mímisbrunnr mímirs,PERSON,1
odin,ORG,1
latitude46,PRODUCT,1
universe47,ORG,1
harmonic 33,LAW,1
aimé michel,PERSON,1
zealand49,PERSON,1
twentieth century west coast south america,DATE,1
thirteen thousand feet,QUANTITY,1
pacific sea,LOC,1
later one,CARDINAL,1
twentyfirst century,DATE,9
von neumann,PRODUCT,1
tens thousands years,DATE,6
space53 three,PRODUCT,1
landmark city,GPE,1
sanda,GPE,1
arizona usa located southwest,ORG,1
alter flagstaff,ORG,1
freemont,ORG,1
doyle peak,PERSON,1
11464 feet,QUANTITY,1
19271932,DATE,1
wavelengths 2005,DATE,1
sego canyon northern frontier,LOC,1
nick patrick,PERSON,1
nunn,GPE,1
jan 2015,DATE,1
25 july,DATE,2
1100,DATE,5
7 july 2016,DATE,1
26 july 2016,DATE,1
2933 5,DATE,1
3009 6,DATE,1
john sorry,PERSON,1
21 oct 2015,DATE,1
11252,CARDINAL,1
2016 8,DATE,1
2334,DATE,1
16yearold,CARDINAL,5
calais photos,GPE,2
40s,DATE,3
mirar luego,PERSON,2
la garganta,ORG,2
pictwittercoma7zvz5440q,GPE,2
luján artola paulos,ORG,2
45yearold,CARDINAL,2
tim,ORG,2
wifi dan dicks tim,PERSON,1
6 dnc,QUANTITY,3
wells fargo center stage,ORG,3
tom vilsack,PERSON,6
last friday,DATE,15
sixth day,DATE,3
bill hillary,PERSON,13
hillary america,PERSON,4
day 4,DATE,3
joaquin castro,PERSON,6
julian castro,PERSON,3
wednesday night,TIME,14
middle boring,LOC,3
wells fargo center,ORG,3
nearly 100 feet,QUANTITY,3
wells fargo center accidentally,ORG,3
overshot tim kaine,PERSON,3
several dozen feet,QUANTITY,3
80s,DATE,21
democratic national convention,ORG,3
late 1980s,DATE,4
huma abedin clinton,PERSON,2
july 2 2015,DATE,1
nicholas merrill,PERSON,1
milia,GPE,2
merrill,ORG,5
jennifer palmieri,PERSON,19
sit huma,PERSON,1
johns voice blow,ORG,1
merrills,ORG,1
seen july 2 2015,DATE,1
zakharova kievs,PERSON,1
maria zakharova,PERSON,5
kievs,PERSON,2
manny,PERSON,1
jimuel pacquiao dies asthm,PERSON,2
season 87 opening day,DATE,1
comdingdangaramaramaflimflam,GPE,1
carmel institute,ORG,2
5th,ORDINAL,22
usrussia,GPE,3
1200,CARDINAL,6
jazz united states,GPE,1
carmel institute founder advisory chair susan,ORG,1
the carmel institute emphasizes shared values common interests cultural dialogue,ORG,1
carmel institute igor butman wynton,ORG,1
us honorary cochair institute,ORG,1
dr anton fedyashin,PERSON,1
american universitys,ORG,3
trumps twitter,PERSON,1
wendy kaufman,PERSON,7
strassel democratic prosecutor wisconsin,ORG,1
scott walker,PERSON,1
76000,CARDINAL,2
75 years,DATE,1
half dozen,CARDINAL,5
seven decades,DATE,2
several thousand years,DATE,1
william hartung,PERSON,3
consensus hartung,PERSON,1
dean acheson,PERSON,1
time korean,NORP,1
hartung,PERSON,2
recast adolf,PERSON,1
hitler 1991,DATE,1
george hw bush,PERSON,10
loomed hartung,PERSON,1
gen colin powell,PERSON,1
castro kim ilsung,PERSON,1
world war ii decided,EVENT,1
john feffer,PERSON,1
robert koehler,PERSON,2
anticlinton,GPE,4
mikhail khazin one,PERSON,1
kristina kharlova,PERSON,2
martin turkey dozen,PERSON,1
clinton fbi,PERSON,2
september 8 2011,DATE,1
10 2015,DATE,3
21 2010,DATE,1
american hebrew,ORG,1
oct 1919,DATE,1
august 2 2010,DATE,3
december 1 2003,DATE,1
7 years,DATE,2
december 13 2014,DATE,1
holocaust may 31 1936,DATE,1
april 15 2009,DATE,2
george eliason,PERSON,2
robert parry,PERSON,10
clinton45,PERSON,1
russia atlantic council,ORG,2
eastern european,NORP,1
iraq war,EVENT,10
chapter 9,LAW,1
iraqi national congress inc project,ORG,1
iraq inc claimed,ORG,1
washington post times london,ORG,1
ukrainian congressional committee america uwc,ORG,1
world congress,ORG,1
adolf hitler,PERSON,3
ready clinton,PERSON,2
natalka jaresko,PERSON,1
ulana suprun,PERSON,1
maidan,PERSON,5
ucca uwc,ORG,1
ukraine learn copy,ORG,1
ivan kobasa,PERSON,2
ukrainianamericans,NORP,2
last 30 years old,DATE,1
last 50 years,DATE,2
1930s,DATE,26
pennsylvania senate,ORG,1
harris wofford,PERSON,1
dick thornburgh,PERSON,1
8 1991,DATE,1
last 40 years,DATE,6
ukrainians,NORP,1
summer 1991,DATE,1
bill clintonukrainian,PERSON,1
43 1992,DATE,1
bill clinton american,PERSON,1
kuzio,GPE,1
ukraine pattern,ORG,1
clintonnato,GPE,1
putin clinton,PERSON,1
america combines,ORG,1
obama hillary clinton,PERSON,4
green beret,PERSON,1
americas covert,PERSON,1
jihadis crimea,ORG,1
national convention none kadri,ORG,1
veseli,NORP,1
albanian,NORP,3
kla spy,PERSON,1
kosovo,PERSON,1
robert gelbard,PERSON,1
kla,ORG,1
serbia,GPE,6
albanians,NORP,1
10272016,DATE,4
warner,ORG,20
minneapolis,GPE,5
merger att time warner,ORG,1
oct 22,DATE,2
oct 20 oct,DATE,1
854 billion,CARDINAL,2
kevin kelleher,PERSON,1
time,PERSON,1
al,PERSON,2
minnesota,GPE,20
jim rutenberg,PERSON,1
att time warner,ORG,2
vermont,GPE,54
kenneth lipp,PERSON,2
edward snowden,PERSON,6
goodman frequent,ORG,1
denis moynihan,PERSON,1
graham bell,PERSON,1
almost week,DATE,1
thomas unequaled thomas one,PERSON,1
anita hill,FAC,1
thomas,PERSON,7
smithsonian national museum african american,ORG,1
accuser anita hill,PERSON,1
africanamerican,ORG,10
antonin scalia,PERSON,10
scalia thomas,PERSON,1
kyle thompson,PERSON,1
oceti sakowin camp,PERSON,1
national news,ORG,2
overnight october 29,DATE,1
paul martin,PERSON,5
michael moore joe blow,PERSON,2
trump trumps,PERSON,2
rebuke system  moore,PERSON,1
detroit economic club,ORG,1
eight long years,DATE,1
revenge electoral college,ORG,1
previous month,DATE,1
