,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedents_length,consequents_length
336,"frozenset({'come', 'time'})",frozenset({'people'}),0.2861271676300578,0.4993577392421323,0.20488118175979447,0.7160493827160493,1.4339406931046803,0.062001366196294205,1.7631314400603166,0.4239145609381545,2,1
337,frozenset({'people'}),"frozenset({'come', 'time'})",0.4993577392421323,0.2861271676300578,0.20488118175979447,0.4102893890675241,1.4339406931046803,0.062001366196294205,1.2105477146513195,0.6044657273672337,1,2
142,frozenset({'way'}),frozenset({'like'}),0.33622350674373797,0.4425176621708414,0.2132305716120745,0.6341929321872015,1.433147163157435,0.06444573144095347,1.523979132394593,0.4553263853673038,1,1
143,frozenset({'like'}),frozenset({'way'}),0.4425176621708414,0.33622350674373797,0.2132305716120745,0.4818577648766328,1.433147163157435,0.06444573144095347,1.2810700388055027,0.5421426489367609,1,1
415,frozenset({'people'}),"frozenset({'time', 'like'})",0.4993577392421323,0.2867694283879255,0.20520231213872833,0.4109324758842444,1.4329717020196384,0.062001778695175286,1.2107789725510654,0.6035237868663049,1,2
414,"frozenset({'time', 'like'})",frozenset({'people'}),0.2867694283879255,0.4993577392421323,0.20520231213872833,0.715565509518477,1.4329717020196382,0.062001778695175286,1.7601320427432119,0.42363511198764947,2,1
5,frozenset({'american'}),frozenset({'come'}),0.34071933204881183,0.4120102761721259,0.2010276172125883,0.590009425070688,1.4320259935075,0.060647751117975074,1.434154245934194,0.45760276008459516,1,1
4,frozenset({'come'}),frozenset({'american'}),0.4120102761721259,0.34071933204881183,0.2010276172125883,0.4879189399844115,1.4320259935075,0.060647751117975074,1.287453724476978,0.5130849079484837,1,1
316,"frozenset({'say', 'make'})",frozenset({'come'}),0.37636480411046885,0.4120102761721259,0.22157996146435452,0.5887372013651877,1.4289381489097386,0.06651379458133219,1.42971775171425,0.48133852744070804,2,1
321,frozenset({'come'}),"frozenset({'say', 'make'})",0.4120102761721259,0.37636480411046885,0.22157996146435452,0.5378020265003897,1.4289381489097384,0.06651379458133219,1.3492815452382267,0.5105185255542626,1,2
378,"frozenset({'say', 'know'})",frozenset({'people'}),0.3018625561978163,0.4993577392421323,0.21515735388567758,0.7127659574468085,1.4273653964561812,0.06441995026088493,1.7429767596755394,0.42886762141454643,2,1
379,frozenset({'people'}),"frozenset({'say', 'know'})",0.4993577392421323,0.3018625561978163,0.21515735388567758,0.43086816720257237,1.4273653964561812,0.06441995026088493,1.2266708758332154,0.598048883229778,1,2
330,"frozenset({'say', 'come'})",frozenset({'people'}),0.3163134232498394,0.4993577392421323,0.2241490044958253,0.7086294416243656,1.419081724256125,0.06619544856984577,1.7182321492909405,0.4319507793184851,2,1
331,frozenset({'people'}),"frozenset({'say', 'come'})",0.4993577392421323,0.3163134232498394,0.2241490044958253,0.4488745980707396,1.419081724256125,0.06619544856984577,1.2405281526796963,0.5898801854836784,1,2
542,frozenset({'time'}),"frozenset({'year', 'people'})",0.5080282594733462,0.2806679511881824,0.2023121387283237,0.39823008849557523,1.4188655555780565,0.059724887996241316,1.1953606105255203,0.6000580214679432,1,2
539,"frozenset({'year', 'people'})",frozenset({'time'}),0.2806679511881824,0.5080282594733462,0.2023121387283237,0.7208237986270024,1.4188655555780565,0.059724887996241316,1.762226644345474,0.4103968253968255,2,1
149,frozenset({'look'}),frozenset({'make'}),0.2861271676300578,0.5061014771997431,0.20520231213872833,0.7171717171717172,1.4170512228887866,0.06039292993417758,1.7462840627580516,0.41227119803843326,1,1
148,frozenset({'make'}),frozenset({'look'}),0.5061014771997431,0.2861271676300578,0.20520231213872833,0.4054568527918782,1.4170512228887864,0.06039292993417758,1.200708200442934,0.5958900346160187,1,1
477,frozenset({'make'}),"frozenset({'use', 'say'})",0.5061014771997431,0.2944765574823378,0.21098265895953758,0.41687817258883253,1.4156582654761445,0.061947638217031364,1.2099074487571662,0.5944841291047895,1,2
472,"frozenset({'use', 'say'})",frozenset({'make'}),0.2944765574823378,0.5061014771997431,0.21098265895953758,0.7164667393675028,1.4156582654761445,0.061947638217031364,1.7419420977224451,0.41616594927772704,2,1
453,frozenset({'time'}),"frozenset({'people', 'make'})",0.5080282594733462,0.3179190751445087,0.22864482980089917,0.45006321112515807,1.4156533731754972,0.06713295540185849,1.2402896817487212,0.5968074339190895,1,2
448,"frozenset({'people', 'make'})",frozenset({'time'}),0.3179190751445087,0.5080282594733462,0.22864482980089917,0.7191919191919192,1.415653373175497,0.06713295540185849,1.751985694681249,0.43046562559512475,2,1
365,"frozenset({'say', 'know'})",frozenset({'make'}),0.3018625561978163,0.5061014771997431,0.21612074502247913,0.7159574468085106,1.414651960254887,0.06334765941947385,1.738818769409144,0.41984906042094144,2,1
368,frozenset({'make'}),"frozenset({'say', 'know'})",0.5061014771997431,0.3018625561978163,0.21612074502247913,0.4270304568527919,1.414651960254887,0.06334765941947385,1.2184547191940658,0.5934667473050238,1,2
110,frozenset({'know'}),frozenset({'like'}),0.40012845215157355,0.4425176621708414,0.24951830443159922,0.6235955056179775,1.4091991324342394,0.07245439721744754,1.4810724796058243,0.48406543588556433,1,1
111,frozenset({'like'}),frozenset({'know'}),0.4425176621708414,0.40012845215157355,0.24951830443159922,0.5638606676342525,1.4091991324342392,0.07245439721744754,1.3754126338354933,0.5208722547432223,1,1
408,"frozenset({'say', 'like'})",frozenset({'people'}),0.32402055234425176,0.4993577392421323,0.22800256904303148,0.7036669970267593,1.4091440699301148,0.06620039855641893,1.6894583314538085,0.4295239369709947,2,1
409,frozenset({'people'}),"frozenset({'say', 'like'})",0.4993577392421323,0.32402055234425176,0.22800256904303148,0.4565916398713827,1.4091440699301148,0.06620039855641893,1.243962178822117,0.5799537442744989,1,2
395,"frozenset({'say', 'like'})",frozenset({'make'}),0.32402055234425176,0.5061014771997431,0.2308927424534361,0.7125867195242815,1.4079917795676478,0.06690546226893362,1.7184262396739978,0.4286647792031029,2,1
398,frozenset({'make'}),"frozenset({'say', 'like'})",0.5061014771997431,0.32402055234425176,0.2308927424534361,0.45621827411167515,1.4079917795676475,0.06690546226893362,1.2431080624334414,0.5866965931225824,1,2
246,frozenset({'say'}),frozenset({'told'}),0.6255619781631342,0.22928709055876687,0.20166987797045602,0.322381930184805,1.4060186703017965,0.05823659203324413,1.1373854148420623,0.7712141241765087,1,1
247,frozenset({'told'}),frozenset({'say'}),0.22928709055876687,0.6255619781631342,0.20166987797045602,0.8795518207282913,1.4060186703017963,0.05823659203324413,3.108706367343281,0.3746815286624205,1,1
346,"frozenset({'say', 'come'})",frozenset({'time'}),0.3163134232498394,0.5080282594733462,0.22575465639049455,0.7137055837563453,1.4048541010222877,0.06505849852882276,1.7184119305629582,0.42151231352981633,2,1
351,frozenset({'time'}),"frozenset({'say', 'come'})",0.5080282594733462,0.3163134232498394,0.22575465639049455,0.44437420986093557,1.4048541010222877,0.06505849852882276,1.2304802780645665,0.5857700492852342,1,2
416,frozenset({'time'}),"frozenset({'people', 'like'})",0.5080282594733462,0.287732819524727,0.20520231213872833,0.40391908975979773,1.4037991579375115,0.05902590864222282,1.1949169453996626,0.5846827410648984,1,2
413,"frozenset({'people', 'like'})",frozenset({'time'}),0.287732819524727,0.5080282594733462,0.20520231213872833,0.7131696428571429,1.4037991579375113,0.05902590864222282,1.715201087594871,0.4038475921151597,2,1
