Entity,Label,Count of NER
sitora yusufiy,PERSON,1
10 months,DATE,5
orlando regional medical center,ORG,1
dr chadwick smith,PERSON,1
hispanic,NORP,250
2004,DATE,76
rick perry,PERSON,45
paul kentucky,PERSON,17
mitt romney,PERSON,158
27 percent,PERCENT,34
de leon cochairman,PERSON,1
republicans texas,ORG,1
latinomedia guru,PERSON,1
sosa,PERSON,3
sylvia manzano,PERSON,2
10 million,CARDINAL,34
1998,DATE,42
61 percent,PERCENT,16
texas hispanics,ORG,2
george p,PERSON,1
perry long,PERSON,1
13 percent,PERCENT,46
tony sanchez,PERSON,1
2002,DATE,62
last decade,DATE,17
1957,DATE,5
35 percent,PERCENT,42
3 percent,PERCENT,29
jackson texas hispanics onefifth,ORG,1
paul spent,ORG,1
last months,DATE,29
november 2014,DATE,19
15 600 pm,TIME,2
830 pm,QUANTITY,5
texan,NORP,21
28 26,CARDINAL,1
ed rogers,PERSON,1
polish,NORP,8
sen susan collins,PERSON,3
brian walsh,PERSON,3
incontrol cruz,PERSON,1
texans,NORP,12
bogeyman,ORG,1
new yorktowashington,PERSON,1
every issue day,DATE,1
george w bush network,PERSON,1
george herbert,PERSON,4
bernie sanders lost,PERSON,2
south carolina,GPE,391
saturday night,TIME,20
sanderss,GPE,178
tonight,TIME,203
82 percent,PERCENT,15
30000,CARDINAL,26
8713,DATE,1
graham,PERSON,82
nights,TIME,70
graham patriot,PERSON,1
fewer three weeks,DATE,1
rubio ben carson,PERSON,1
george w bush administration,PERSON,1
ben carson,PERSON,185
outsider wednesdays,DATE,1
jeb,PERSON,103
sen marco,PERSON,22
rubio florida,PERSON,17
carson,PERSON,228
ari fleischer,PERSON,4
four years ago,DATE,60
trump carson,PERSON,8
stuart stevens,PERSON,4
barely three months,DATE,1
afternoon,TIME,180
denver,GPE,29
jeb friend,PERSON,1
77000,CARDINAL,1
cnbc,ORG,52
1 million,CARDINAL,76
chris christie,ORG,9
abandon bid,PERSON,1
robert costa colorado,PERSON,1
jenna johnson nevada,PERSON,1
late evening,TIME,4
9 2014,DATE,3
steve kornacki,PERSON,2
michael brown,PERSON,23
darren wilson,PERSON,19
next morning,TIME,10
early hours,TIME,5
early days,DATE,17
month,DATE,109
102,CARDINAL,5
st louis suburb never,GPE,1
18yearold,CARDINAL,16
101,CARDINAL,12
johnson,PERSON,253
6,CARDINAL,77
wilson,ORG,19
prior wilson,PERSON,2
wilson wilson,ORG,1
44,CARDINAL,40
back wilson johnson,PERSON,1
brown,PERSON,4
mantra movement,ORG,1
african american,ORG,5
july 17,DATE,3
john crawford iii,PERSON,2
5 four days,DATE,1
tamir rice,PERSON,6
12 years old,DATE,1
cleveland park,FAC,1
nov 23 day,DATE,1
bernie sanders call,PERSON,1
massachusetts rep barney frank head,ORG,1
brad deutsch,PERSON,2
cochairs jim roosevelt lorraine miller,PERSON,1
democratic national committee,ORG,24
tim canova,PERSON,1
25,CARDINAL,72
daily,DATE,242
april 1,DATE,8
devine,PERSON,1
april 6,DATE,2
connecticut democratic party,ORG,2
today earlier month,DATE,1
chicago philadelphia pittsburgh,ORG,1
tacoma,GPE,1
four months,DATE,14
17,CARDINAL,87
los angeles,GPE,128
valerie jarrett,PERSON,6
ed murray,PERSON,4
east coast,LOC,7
jon russell,PERSON,1
american city county exchange,ORG,1
american legislative exchange council,ORG,3
last september,DATE,10
200,CARDINAL,66
43 million,CARDINAL,3
summer,DATE,143
labor,ORG,6
tom perez,PERSON,15
chicago,GPE,180
perez portland,PERSON,1
perez minneapolis,PERSON,1
perez,PERSON,2
1010 hour,TIME,1
7 million,CARDINAL,9
2017,DATE,71
white house council economic advisers,ORG,1
one hour,TIME,6
every 30 hours,TIME,1
year ago,DATE,38
pittsburgh city,GPE,1
natalia,GPE,2
3712,CARDINAL,1
sen john eichelberger jr,PERSON,1
2562,CARDINAL,1
matthew eshbaughsoha,PERSON,1
north texas,PRODUCT,1
michael nutter,PERSON,3
2011 2013,DATE,4
three weeks,DATE,33
mark mcdonald,PERSON,1
bill greenlee,PERSON,1
put agenda,PERSON,1
greenlee,PERSON,1
12 hour,TIME,2
june 10,DATE,2
july 9,DATE,3
thousands yazidi,MONEY,1
thousands yazidi,QUANTITY,1
thousands,CARDINAL,244
kurdish,NORP,158
august 9,DATE,2
aziza hamid,PERSON,4
15yearold,CARDINAL,13
august 11,DATE,4
sinjar,ORG,9
70000,CARDINAL,14
mount zardak,LOC,3
september 9,DATE,3
september 20,DATE,1
kurds,NORP,17
28,CARDINAL,53
september 30,DATE,4
monday october 6,DATE,1
monday october,DATE,1
october 13,DATE,3
cundi minaz,PERSON,2
turkish,NORP,37
october,DATE,109
minaz,PERSON,3
october 18,DATE,2
october 19,DATE,4
23,CARDINAL,54
arab,NORP,119
october 30,DATE,2
free syrian army,ORG,12
november 19,DATE,2
95 kilometers,QUANTITY,1
baghdad,GPE,83
november 25,DATE,1
95 kilometers 60 miles,QUANTITY,1
january 17,DATE,3
january 21,DATE,3
japanese,NORP,42
kenji goto,PERSON,7
tokyo,GPE,8
january 23,DATE,2
haruna yukawa junko,PERSON,1
haruna yukawa,PERSON,2
january 27,DATE,4
turkishsyrian,NORP,5
ayn,ORG,6
midseptember safi,GPE,1
karak,GPE,1
jordan,GPE,37
february 4,DATE,1
jordanian,NORP,21
jordan one,PERSON,1
assyrian,NORP,2
damascus,GPE,30
220,CARDINAL,4
assyrians,NORP,2
9 iraqi,NORP,1
march 9,DATE,6
19yearold,DATE,1
musallam,GPE,1
east jerusalem,GPE,11
march 10,DATE,4
palestinian,NORP,137
mossad,ORG,1
april 3,DATE,2
april 3 yazidi,DATE,1
south kirkuk,GPE,5
april 8,DATE,8
dozens,CARDINAL,149
islamist,NORP,83
last summer,DATE,43
iraqis,NORP,44
friday april 17 thousands,DATE,1
iraqis cross,ORG,1
friday april,DATE,2
kabul,GPE,37
jalalabad,GPE,4
april 18,DATE,4
33,CARDINAL,36
100,CARDINAL,146
west iraqi,NORP,3
april 26,DATE,11
22,CARDINAL,75
syrians,NORP,33
groups kobani,ORG,4
june 25,DATE,4
kurds kobani,PERSON,4
egypt,GPE,102
1st,ORDINAL,7
egyptian,NORP,144
1 least 17,CARDINAL,1
30,CARDINAL,111
monday july 20,DATE,2
tuesday july 21,DATE,1
august 6,DATE,12
bin khaled bin abdulaziz,PERSON,1
mosque abha,LOC,1
august 15,DATE,2
hassana,GPE,5
224,CARDINAL,12
kweiras air base,FAC,2
11,MONEY,2
november 12,DATE,1
sunni,NORP,57
beirut,GPE,22
lebanon,GPE,31
43,CARDINAL,50
130,CARDINAL,23
hundreds,CARDINAL,166
friday november,DATE,1
27,CARDINAL,56
northern bangladeshs,ORG,1
bogra district,PERSON,1
yemenis,NORP,3
sunday december,DATE,1
aden,GPE,7
yemen,GPE,139
attack terror,ORG,1
january 31,DATE,2
